single_thread len 16, time 0.000384
single_thread len 32, time 0.000828
single_thread len 64, time 0.001385
single_thread len 128, time 0.002489
single_thread len 256, time 0.004723
single_thread len 512, time 0.009159
single_thread len 1024, time 0.017987
single_thread len 2048, time 0.035750
single_thread len 4096, time 0.071127
single_thread len 8192, time 0.142464
single_thread len 16384, time 0.286536
single_thread len 32768, time 0.572251
omp_thread len 16, time 0.080729
omp_thread len 32, time 0.061158
omp_thread len 64, time 0.061229
omp_thread len 128, time 0.061036
omp_thread len 256, time 0.062002
omp_thread len 512, time 0.062559
omp_thread len 1024, time 0.062459
omp_thread len 2048, time 0.063783
omp_thread len 4096, time 0.066577
omp_thread len 8192, time 0.072897
omp_thread len 16384, time 0.084920
omp_thread len 32768, time 0.108256
