single_thread len 16, time 0.000385
single_thread len 32, time 0.000828
single_thread len 64, time 0.001384
single_thread len 128, time 0.002494
single_thread len 256, time 0.004760
single_thread len 512, time 0.009159
single_thread len 1024, time 0.017946
single_thread len 2048, time 0.035573
single_thread len 4096, time 0.071073
single_thread len 8192, time 0.142433
single_thread len 16384, time 0.286425
single_thread len 32768, time 0.572598
begin pthread function 
threadpool len 16, time 0.017303
threadpool len 32, time 0.017517
threadpool len 64, time 0.016501
threadpool len 128, time 0.018332
threadpool len 256, time 0.018093
threadpool len 512, time 0.016879
threadpool len 1024, time 0.016253
threadpool len 2048, time 0.016655
threadpool len 4096, time 0.017145
threadpool len 8192, time 0.024807
threadpool len 16384, time 0.033821
threadpool len 32768, time 0.056695
